"CODES NC
2020";LIBELLES AUTOSUFFISANTS NC 2020 (fichier DSECE);"CREATIONS (1)
MODIFICATIONS (2)"
8708 80 20;Systèmes de suspension et leurs parties, y.c. les amortisseurs de suspension, destinés au montage, pour voitures de tourisme, véhicules pour le transport de marchandises à moteur à piston à allumage par compression (moteur diesel ou semi-diesel), cylindrée <= 2500 cm³ ou à moteur à piston à allumage par étincelles (moteur à explosion), cylindrée <= 2800 cm³, pour véhicules à usages spéciaux du n° 8705, n.d.a.;
8708 80 35;Amortisseurs de suspension pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux (non destinés au montage de certains véhicules de la sous-position 8708 80 20);
8708 80 55;Barres stabilisatrices et barres de torsion, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux (non destinés au montage de certains véhicules de la sous-position 8708 80 20);
8708 80 91;Systèmes de suspension et leurs parties, en aciers estampés, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a. (non destinés au montage de certains véhicules de la sous-position 8708 80 20 et autres que les amortisseurs de suspension, les barres stabilisatrices et les barres de torsion);
8708 80 99;Systèmes de suspension et leurs parties, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a. (non destinés au montage de certains véhicules de la sous-position 8708 80 20, autres que les amortisseurs de suspension, les barres stabilisatrices et les barres de torsion et autres qu'en aciers estampés);
8708 91;Radiateurs et leurs parties, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a.;
8708 91 20;Radiateurs et leurs parties, destinés au montage, pour motoculteurs du n° 870110, voitures de tourisme, véhicules pour le transport de marchandises à moteur à piston à allumage par compression (moteur diesel ou semi-diesel), cylindrée <= 2500 cm³ ou à moteur à piston à allumage par étincelles (moteur à explosion), cylindrée <= 2800 cm³, véhicules à usages spéciaux du n° 8705, n.d.a.;
8708 91 35;Radiateurs pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux (non destinés au montage de certains véhicules, cités à la position 8708 91 20);
8708 91 91;Parties de radiateurs, en aciers estampés, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a. (non destinés au montage de certains véhicules de la sous-position 8708 91 20);
8708 91 99;Parties de radiateurs, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a. (non destinés au montage de certains véhicules de la sous-position 8708 91 20 et autres qu'en aciers estampés);
8708 92;Silencieux et tuyaux d'échappement ainsi que leurs parties, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a.;
8708 92 20;Silencieux et tuyaux d'échappement ainsi que leurs parties, destinés au montage, pour motoculteurs du n° 870110, voitures de tourisme, véhicules pour le transport de marchandises à moteur à piston à allumage par compression (moteur diesel ou semi-diesel), cylindrée <= 2500 cm³ ou à moteur à piston à allumage par étincelles (moteur à explosion), cylindrée <= 2800 cm³, véhicules à usages spéciaux du n° 8705, n.d.a.;
8708 92 35;Silencieux et tuyaux d'échappement, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux (non destinés au montage de certains véhicules, cités à la position 8708 92 20);
8708 92 91;Parties de silencieux et tuyaux d'échappement, en aciers estampés, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a. (non destinés au montage de certains véhicules de la sous-position 8708 92 20);
8708 92 99;Parties de silencieux et tuyaux d'échappement, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a. (non destinés au montage de certains véhicules de la sous-position 8708 92 20 et autres qu'en aciers estampés);
8708 93;Embrayages et leurs parties, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a.;
8708 93 10;Embrayages et leurs parties destinés au montage, pour motoculteurs du n° 870110, voitures de tourisme, véhicules pour le transport de marchandises à moteur à piston à allumage par compression (moteur diesel ou semi-diesel), cylindrée <= 2500 cm³ ou à moteur à piston à allumage par étincelles (moteur à explosion), cylindrée <= 2800 cm³, véhicules à usages spéciaux du n° 8705, n.d.a.;
8708 93 90;Embrayages et leurs parties, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux (non destinés au montage de certains véhicules de la sous-position 8708 93 10);
8708 94;Volants, colonnes et boîtiers de direction ainsi que leurs parties, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a.;
8708 94 20;Volants, colonnes et boîtiers de direction ainsi que leurs parties, destinés au montage, pour voitures de tourisme, véhicules pour le transport de marchandises à moteur à piston à allumage par compression (moteur diesel ou semi-diesel), cylindrée <= 2500 cm³ ou à moteur à piston à allumage par étincelles (moteur à explosion), cylindrée <= 2800 cm³, véhicules à usages spéciaux du n° 8705, n.d.a.;
8708 94 35;Volants, colonnes et boîtiers de direction, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux (non destinés au montage de certains véhicules de la sous-position 8708 94 20);
8708 94 91;Parties de volants, colonnes et boîtiers de direction, en aciers estampés, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a. (non destinés au montage de certains véhicules de la sous-position 8708 92 20);
8708 94 99;Parties de volants, colonnes et boîtiers de direction, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a. (non destinés au montage de certains véhicules de la sous-position 8708 92 20 et autres qu'en aciers estampés);
8708 95;Coussins gonflables de sécurité avec système de gonflage [airbags] et leurs parties, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a.;
8708 95 10;Coussins gonflables de sécurité avec système de gonflage [airbags] et leurs parties, destinés au montage, pour motoculteurs du n° 870110, voitures de tourisme, véhicules pour le transport de marchandises à moteur à piston à allumage par compression (moteur diesel ou semi-diesel), cylindrée <= 2500 cm³ ou à moteur à piston à allumage par étincelles (moteur à explosion), cylindrée <= 2800 cm³, véhicules à usages spéciaux du n° 8705, n.d.a.;
8708 95 91;Coussins gonflables de sécurité avec système de gonflage [airbags] et leurs parties, en aciers estampés, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a. (non destinés au montage de certains véhicules de la sous-position 8708 95 10);
8708 95 99;Coussins gonflables de sécurité avec système de gonflage [airbags] et leurs parties, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a. (non destinés au montage de certains véhicules de la sous-position 8708 95 10 et autres qu'en aciers estampés);
8708 99;Parties et accessoires, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a.;
8708 99 10;Parties et accessoires destinés au montage, pour motoculteurs du n° 870110, voitures de tourisme, véhicules pour le transport de marchandises à moteur à piston à allumage par compression (moteur diesel ou semi-diesel), cylindrée <= 2500 cm³ ou à moteur à piston à allumage par étincelles (moteur à explosion), cylindrée <= 2800 cm³, véhicules à usages spéciaux du n° 8705, n.d.a.;
8708 99 93;Parties et accessoires en aciers estampés, pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a.;
8708 99 97;Parties et accessoires pour tracteurs, véhicules pour le transport de >= 10 personnes, chauffeur inclus, voitures de tourisme, véhicules pour le transport de marchandises et véhicules à usages spéciaux, n.d.a. (sauf en aciers estampés);
8709;"Chariots automobiles (non munis d'un dispositif de levage), des types utilisés dans les usines, les entrepôts, les ports ou les aéroports pour le transport des marchandises sur de courtes distances; chariots-tracteurs des types utilisés dans les gares; leurs parties, n.d.a.";
8709 11;Chariots électriques, non munis d'un dispositif de levage, des types utilisés pour le transport des marchandises sur de courtes distances, y.c. les chariots-tracteurs des types utilisés dans les gares;
8709 11 10;Chariots électriques (non munis d'un dispositif de levage), des types utilisés pour le transport des produits à forte radioactivité [Euratom];
8709 11 90;Chariots électriques (non munis d'un dispositif de levage), des types utilisés pour le transport des marchandises sur de courtes distances, y.c. les chariots-tracteurs des types utilisés dans les gares (à l'excl. des chariots utilisés pour le transport de produits à forte radioactivité);
8709 19;Chariots automobiles non électriques, non munis d'un dispositif de levage, des types utilisés pour le transport des marchandises sur de courtes distances, y.c. les chariots-tracteurs des types utilisés dans les gares;
8709 19 10;Chariots automobiles non électriques, non munis d'un dispositif de levage, des types utilisés pour le transport des produits à forte radioactivité [Euratom];
8709 19 90;Chariots automobiles non électriques, non munis d'un dispositif de levage, des types utilisés pour le transport des marchandises sur de courtes distances, y.c. les chariots-tracteurs des types utilisés dans les gares (à l'excl. des chariots utilisés pour le transport de produits à forte radioactivité [Euratom]);
8709 90 00;Parties de chariots automobiles non munis d'un dispositif de levage, des types utilisés pour le transport des marchandises sur de courtes distances, y.c. les chariots-tracteurs des types utilisés dans les gares, n.d.a.;
8710 00 00;"Chars et automobiles blindés de combat, armés ou non; leurs parties, n.d.a.";
8711;"Motocycles (y.c. les cyclomoteurs) et cycles équipés d'un moteur auxiliaire, avec ou sans side-cars; side-cars";
8711 10 00;Motocycles, y compris les cyclomoteurs, à moteur à piston alternatif, d’une cylindrée <= 50 cm³;
8711 20;Motocycles à moteur à piston alternatif, cylindrée > 50 cm³ mais <= 250 cm³;
8711 20 10;Scooters, cylindrée > 50 cm³ mais <= 250 cm³;
8711 20 92;Motocycles à moteur à piston alternatif, cylindrée > 50 cm³ mais <= 125 cm³ (à l'excl. des scooters);
8711 20 98;Motocycles à moteur à piston alternatif, d'une cylindrée > 125 cm³ mais <= 250 cm³ (à l'excl. des scooters);
8711 30;Motocycles à moteur à piston alternatif, cylindrée > 250 cm³ mais <= 500 cm³;
8711 30 10;Motocycles à moteur à piston alternatif, d'une cylindrée > 250 cm³ mais <= 380 cm³;
8711 30 90;Motocycles à moteur à piston alternatif, d'une cylindrée > 380 cm³ mais <= 500 cm³;
8711 40 00;Motocycles à moteur à piston alternatif, cylindrée > 500 cm³ mais <= 800 cm³;
8711 50 00;Motocycles à moteur à piston alternatif, cylindrée > 800 cm³;
8711 60;Motocycles, y compris les cyclomoteurs, et cycles à moteur auxiliaire, propulsés par un moteur électrique;
8711 60 10;Cycles, tricycles et quadricycles, à pédalage assisté, équipés d’un moteur auxiliaire électrique d’une puissance nominale continue <= 250 W;
8711 60 90;Motocycles, y compris les cyclomoteurs, et cycles à moteur auxiliaire, propulsés par un moteur électrique (à l’exclusion des cycles, tricycles et quadricycles, à pédalage assisté, équipés d’un moteur d’une puissance nominale continue <= 250 W);
8711 90 00;Motocycles, y compris les cyclomoteurs, et cycles à moteur auxiliaire et side-cars (autres qu’à moteur électrique ou à moteur à piston alternatif);
8712 00;Bicyclettes et autres cycles (y.c. les triporteurs), sans moteur;
8712 00 30;Bicyclettes, sans moteur, avec roulements à billes;
8712 00 70;Cycles, y.c. les triporteurs, sans moteur (à l’excl. des bicyclettes avec roulements à billes);
8713;Fauteuils roulants et autres véhicules pour invalides, même avec moteur ou autre mécanisme de propulsion (sauf automobiles et bicyclettes munies de dispositifs spéciaux);
8713 10 00;Fauteuils roulants et autres véhicules pour invalides (sans mécanisme de propulsion);
8713 90 00;Fauteuils roulants et autres véhicules pour invalides, avec mécanisme de propulsion (sauf automobiles et bicyclettes munies de dispositifs spéciaux);
8714;Parties et accessoires de motocycles et cycles et de fauteuils roulants et d'autres véhicules pour invalides, n.d.a.;
8714 10;Parties et accessoires de motocycles, y.c. de cyclomoteurs, n.d.a.;
8714 10 10;Freins et leurs parties, de motocycles, y.c. de cyclomoteurs;
8714 10 20;Boîtes de vitesses et leurs parties, de motocycles, y.c. de cyclomoteurs;
8714 10 30;Roues, leurs parties et accessoires, de motocycles, y.c. de cyclomoteurs;
8714 10 40;Silencieux et tuyaux d'échappement, et leurs parties, de motocycles, y.c. de cyclomoteurs;
8714 10 50;Embrayages et leurs parties, de motocycles, y.c. de cyclomoteurs;
8714 10 90;Parties et accessoires de motocycles, y.c. de cyclomoteurs, n.d.a. (sauf freins, boîtes de vitesses, roues, silencieux, tuyaux d'échappement, embrayages, et leurs parties);
8714 20 00;Parties et accessoires de fauteuils roulants ou d'autres véhicules pour invalides, n.d.a.;
8714 91;Cadres, fourches et leurs parties, de cycles, n.d.a. (à l'excl. de motocycles);
8714 91 10;Cadres de cycles (à l'excl. de motocycles);
8714 91 30;Fourches de cycles (à l'excl. de motocycles);
8714 91 90;Parties de cadres et fourches de cycles (à l'exclusion des motocycles);
8714 92;Jantes et rayons de cycles (à l'excl. de motocycles);
8714 92 10;Jantes de cycles (à l'excl. de motocycles);
8714 92 90;Rayons de cycles (à l'excl. de motocycles);
8714 93 00;Moyeux et pignons de roues libres, de cycles (à l'excl. de motocycles et moyeux à frein);
8714 94;Freins, y.c. les moyeux à freins, et leurs parties, de cycles (à l'excl. de motocycles);
8714 94 20;Freins, y.c. les moyeux à freins, de cycles (à l'excl. de motocycles);
8714 94 90;Parties de freins et moyeux à frein, de cycles, n.d.a. (à l'excl. de motocycles);
8714 95 00;Selles de cycles (à l'excl. de motocycles);
8714 96;Pédales et pédaliers, et leurs parties, de bicyclettes, n.d.a.;
8714 96 10;Pédales de bicyclettes;
8714 96 30;Pédaliers de bicyclettes;
8714 96 90;Parties de pédales et pédaliers pour bicyclettes, n.d.a.;
8714 99;Parties et accessoires, de bicyclettes, n.d.a.;
8714 99 10;Guidons de bicyclettes;
8714 99 30;Porte-bagages de bicyclettes;
8714 99 50;Dérailleurs de bicyclettes;
8714 99 90;Parties et accessoires de bicyclettes, et leurs parties, n.d.a.;
8715 00;Landaus, poussettes et voitures simil., pour le transport des enfants, et leurs parties, n.d.a.;
8715 00 10;Landaus, poussettes et simil., pour le transport des enfants;
8715 00 90;Parties de landaus, poussettes et simil., pour le transport des enfants, n.d.a.;
8716;"Remorques et semi-remorques pour tous véhicules; autres véhicules (non automobiles, ne circulant pas sur rails); leurs parties, n.d.a.";
8716 10;Remorques et semi-remorques pour l'habitation ou le camping, du type caravane;
8716 10 92;Remorques et semi-remorques pour l’habitation ou le camping, du type caravane, d’un poids <= 1600 kg;
8716 10 98;Remorques et semi-remorques pour l’habitation ou le camping, du type caravane, d’un poids > 1600 kg;
8716 20 00;Remorques et semi-remorques autochargeuses ou autodéchargeuses, pour usages agricoles;
8716 31 00;Remorques-citernes ne circulant pas sur rails;
8716 39;Remorques ne circulant pas sur rails, pour le transport des marchandises (sauf remorques destinées à des usages agricoles, remorques autochargeuses ou autodéchargeuses et remorques-citernes);
8716 39 10;Remorques et semi-remorques ne circulant pas sur rails, pour le transport de produits à forte radioactivité [Euratom];
8716 39 30;Semi-remorques pour le transport des marchandises, neuves, ne circulant pas sur rails (sauf remorques destinées à des usages agricoles, remorques autochargeuses ou autodéchargeuses, remorques pour le transport de produits à forte radioactivité [Euratom] et remorques citernes);
8716 39 50;Remorques pour le transport des marchandises, neuves (à l'excl. des remorques destinées à des usages agricoles, remorques autochargeuses ou autodéchargeuses, remorques pour le transport de produits à forte radioactivité);
8716 39 80;Remorques et semi-remorques ne circulant pas sur rails, pour le transport des marchandises, usagées (sauf remorques destinées à des usages agricoles, remorques autochargeuses ou autodéchargeuses, remorques pour le transport de produits à forte radioactivité [Euratom] et remorques-citernes);
8716 40 00;Remorques ne circulant pas sur rails (à l'excl. des remorques pour le transport de marchandises et remorques pour l'habitation ou le camping, du type caravane);
8716 80 00;Véhicules dirigés à la main et autres véhicules non automobiles, autres que remorques et semi-remorques;
8716 90;Parties de remorques, semi-remorques et autres véhicules non automobiles, n.d.a.;
8716 90 10;Chassis de remorques, semi-remorques et autres véhicules non automobiles, n.d.a.;
8716 90 30;Carrosseries de remorques, semi-remorques et autres véhicules non automobiles, n.d.a.;
8716 90 50;Essieux de remorques, semi-remorques et autres véhicules non automobiles, n.d.a.;
8716 90 90;Parties de remorques, semi-remorques et autres véhicules non automobiles, n.d.a.;
CHAPITRE 88;NAVIGATION AÉRIENNE OU SPATIALE;
8801 00;"Ballons et dirigeables; planeurs, ailes volantes et autres véhicules aériens, non conçus pour la propulsion à moteur";
8801 00 10;"Planeurs et ailes volantes; ballons et dirigeables (autres que ballonnets pour enfants)";
8801 00 90;Véhicules aériens (non conçus pour la propulsion à moteur) (autres que planeurs et ailes volantes, cerf-volants pour enfants et ballonnets pour enfants);
8802;"Véhicules aériens conçus pour la propulsion à moteur (hélicoptères, avions, p.ex.); véhicules spatiaux, y.c. les satellites, et leurs véhicules lanceurs et véhicules sous-orbitaux";
8802 11 00;Hélicoptères d'un poids à vide <= 2000 kg;
8802 12 00;Hélicoptères d'un poids à vide > 2000 kg;
8802 20 00;Avions et autres véhicules aériens, conçus pour la propulsion à moteur, sauf hélicoptères et dirigeables, d'un poids à vide <= 2000 kg;
8802 30 00;Avions et autres véhicules aériens, conçus pour la propulsion à moteur, sauf hélicoptères et dirigeables, d'un poids à vide > 2000 kg mais <= 15000 kg (sauf hélicoptères et dirigeables);
8802 40 00;Avions et autres véhicules aériens, conçus pour la propulsion à moteur, d'un poids à vide > 15000 kg (sauf hélicoptères et dirigeables);
8802 60;Véhicules spatiaux, y.c. les satellites, et leurs véhicules lanceurs et véhicules sous-orbitaux;
8802 60 11;Satellites de télécommunications;
8802 60 19;Véhicules spatiaux (à l’exclusion des satellites de télécommunications);
8802 60 90;Véhicules lanceurs et véhicules sous-orbitaux;
8803;Parties des véhicules aériens et spatiaux des n° 8801 et 8802, n.d.a.;
8803 10 00;Hélices et rotors, leurs parties, pour aéronefs, n.d.a.;
8803 20 00;Trains d'atterrissage, leurs parties, pour aéronefs, n.d.a.;
8803 30 00;Parties d'avions ou d'hélicoptères, n.d.a. (sauf planeurs);
8803 90;Parties des véhicules aériens et spatiaux, n.d.a.;
8803 90 10;Parties de cerfs-volants, n.d.a.;
8803 90 21;Parties des satellites de télécommunication, n.d.a.;
8803 90 29;Parties des véhicules spatiaux, y compris les satellites, n.d.a.;
8803 90 30;Parties des véhicules lanceurs et véhicules sous-orbitaux, n.d.a.;
8803 90 90;Parties des véhicules aériens, n.d.a. (autres que pour véhicules spatiaux, y.c. les satellites, et leurs véhicules lanceurs et véhicules sous-orbitaux);
8804 00 00;"Parachutes, y.c. les parachutes dirigeables et les parapentes, et rotochutes; leurs parties et accessoires, n.d.a.";
8805;"Appareils et dispositifs pour le lancement de véhicules aériens (sauf treuils pour lancer les planeurs); appareils et dispositifs pour l'appontage de véhicules aériens et appareils et dispositifs simil.; appareils au sol d'entraînement au vol; leurs parties, n.d.a.";
8805 10;"Appareils et dispositifs pour le lancement de véhicules aériens (sauf treuils pour lancer les planeurs), leurs parties, n.d.a.; appareils et dispositifs pour l'appontage de véhicules aériens, et simil., leurs parties, n.d.a.";
8805 10 10;Appareils et dispositifs pour le lancement de véhicules aériens (sauf treuils pour le lancement des planeurs), leurs parties, n.d.a.;
8805 10 90;Appareils et dispositifs pour l'appontage de véhicules aériens, et simil., leurs parties, n.d.a.;
8805 21 00;Simulateurs de combat aérien et leurs parties;
8805 29 00;Appareils au sol d'entraînement au vol, leurs parties, n.d.a. (à l'excl. des simulateurs de combat aérien et leurs parties);
CHAPITRE 89;NAVIGATION MARITIME OU FLUVIALE;
8901;Paquebots, bateaux de croisières, transbordeurs, cargos, péniches et bateaux simil. pour le transport de personnes ou de marchandises;
8901 10;"Paquebots, bateaux de croisières et simil., pour le transport de personnes; transbordeurs";
8901 10 10;"Paquebots, bateaux de croisières et simil., pour le transport de personnes; transbordeurs, pour la navigation maritime";
8901 10 90;"Paquebots, bateaux de croisières et simil., pour le transport de personnes; transbordeurs (autres que pour la navigation maritime)";
8901 20;Bateaux-citernes;
8901 20 10;Bateaux-citernes pour la navigation maritime;
8901 20 90;Bateaux-citernes (autres que pour la navigation maritime);
8901 30;Bateaux frigorifiques sauf bateaux-citernes;
8901 30 10;Bateaux frigorifiques (sauf bateaux-citernes), pour la navigation maritime;
8901 30 90;Bateaux frigorifiques (sauf bateaux-citernes, autres que pour la navigation maritime);
8901 90;Cargos et bateaux pour le transport de personnes et de marchandises (autres que bateaux frigorifiques, bateaux-citernes, cargos et bateaux destinés essentiellement au transport des personnes);
8901 90 10;Cargos et bateaux pour le transport de personnes et de marchandises, pour la navigation maritime (autres que bateaux frigorifiques, bateaux-citernes, cargos et bateaux destinés essentiellement au transport des personnes);
8901 90 90;Bateaux pour le transport de marchandises et autres bateaux conçus à la fois pour le transport de personnes et de marchandises, avec ou sans propulsion (à l'excl. des bateaux pour la navigation maritime, des bateaux frigorifiques, des bateaux-citernes, des transbordeurs et des bateaux similaires principalement conçus pour le transport de personnes);
8902 00;"Bateaux de pêche; navires-usines et autres bateaux pour le traitement et la mise en conserve des produits de la pêche (autres que pour la pêche sportive)";
8902 00 10;Bateaux de pêche, navires-usines et autres bateaux pour le traitement et la mise en conserve des produits de la pêche, pour la navigation maritime;
8902 00 90;"Bateaux de pêche; navires-usines et autres bateaux pour le traitement et la mise en conserve des produits de la pêche (autres que pour la navigation maritime et la pêche sportive)";
8903;Yachts et autres bateaux et embarcations de plaisance ou de sport, bateaux à rames et canoës;
8903 10;Bateaux gonflables, de plaisance ou de sport;
8903 10 10;Bateaux gonflables, de plaisance ou de sport, poids unitaire <= 100 kg;
8903 10 90;Bateaux gonflables, de plaisance ou de sport, poids unitaire > 100 kg;
8903 91;Bateaux à voile, de plaisance ou de sport, même avec moteur auxiliaire;
8903 91 10;Bateaux à voile, de plaisance ou de sport, même avec moteur auxiliaire, pour la navigation maritime;
8903 91 90;Bateaux à voile, de plaisance ou de sport, même avec moteur auxiliaire (autres que pour la navigation maritime);
8903 92;Bateaux, de plaisance ou de sport, à moteur (autres qu'à moteur hors-bord);
8903 92 10;Bateaux, de plaisance ou de sport, à moteur (autres qu'à moteur hors-bord), pour la navigation maritime;
8903 92 91;Bateaux, de plaisance ou de sport, à moteur (autres qu'à moteur hors-bord)(autres que pour la navigation maritime), longueur <= 7,5 m;
8903 92 99;Bateaux, de plaisance ou de sport, à moteur (autres qu'à moteur hors-bord) (autres que pour la navigation maritime), longueur > 7,5 m;
8903 99;"Bateaux, de plaisance ou de sport (sauf bateaux à moteur autre qu' à moteur hors-bord, bateaux à voile, même avec moteur auxiliaire, et bateaux gonflables); bateaux à rames et canoës";
8903 99 10;Bateaux, de plaisance ou de sport, bateaux à rames et canoës, poids unitaire <= 100 kg (sauf bateaux à moteur autre qu' à moteur hors-bord, bateaux à voile, même avec moteur auxiliaire, et bateaux gonflables);
8903 99 91;Bateaux, de plaisance ou de sport, bateaux à rames et canoës, poids unitaire > 100 kg, longueur <= 7,5 m (sauf bateaux à moteur autre qu' à moteur hors-bord, bateaux à voile, même avec moteur auxiliaire, et bateaux gonflables);
8903 99 99;Bateaux, de plaisance ou de sport, bateaux à rames et canoës, poids unitaire > 100 kg, longueur > 7,5 m (sauf bateaux à moteur autre qu'à moteur hors-bord, bateaux à voile, même avec moteur auxiliaire, et bateaux gonflables);
8904 00;Remorqueurs et bateaux-pousseurs;
8904 00 10;Remorqueurs pour la navigation maritime ou fluviale;
8904 00 91;Bateaux-pousseurs, pour la navigation maritime;
8904 00 99;Bateaux-pousseurs (autres que pour la navigation maritime);
8905;"Bateaux-phares, bateaux-pompes, bateaux-dragueurs, pontons-grues et autres bateaux pour lesquels la navigation n'est qu'accessoire par rapport à la fonction principale; docks flottants; plates-formes de forage ou d'exploitation, flottantes ou submersibles (sauf bateaux de pêche et navires de guerre)";
8905 10;Bateaux-dragueurs;
8905 10 10;Bateaux-dragueurs, pour la navigation maritime;
8905 10 90;Bateaux-dragueurs (autres que pour la navigation maritime);
8905 20 00;Plates-formes de forage ou d'exploitation, flottantes ou submersibles;
8905 90;Bateaux-phares, bateaux-pompes, pontons-grues et autres bateaux pour lesquels la navigation n'est qu'accessoire par rapport à la fonction principale (sauf bateaux-dragueurs, plates-formes de forage ou d'exploitation, flottantes ou submersibles, bateaux de pêche et navires de guerre);
8905 90 10;Bateaux-phares, bateaux-pompes, pontons-grues et autres bateaux pour lesquels la navigation n'est qu'accessoire par rapport à la fonction principale, pour la navigation maritime (sauf bateaux-dragueurs, plates-formes de forage ou d'exploitation, flottantes ou submersibles, bateaux de pêche et navires de guerre);
8905 90 90;Bateaux-phares, bateaux-pompes, pontons-grues et autres bateaux pour lesquels la navigation n'est qu'accessoire par rapport à la fonction principale (autres que pour la navigation maritime, autres que bateaux-dragueurs, plates-formes de forage ou d'exploitation, flottantes ou submersibles, bateaux de pêche et navires de guerre);
8906;Autres bateaux, y.c. les navires de guerre et les bateaux de sauvetage (autres qu'à rames, autres que bateaux des n° 8901 à 8905 et que bateaux à dépecer);
8906 10 00;Navires de guerre;
8906 90;Bateaux, y.c. les bateaux de sauvetage (à l'excl. des navires de guerre, des bateaux à rames et autres bateaux des n° 8901 à 8905 et des bateaux à dépecer);
8906 90 10;Bateaux, y.c. les bateaux de sauvetage, pour la navigation maritime (autres que navires de guerre, bateaux à rames, et autres bateaux des n° 8901 à 8905 et autres que bateaux à dépecer);
8906 90 91;Bateaux, y.c. les bateaux de sauvetage, dont le poids unitaire <= 100 kg (à l'excl. des bateaux à rames et autres bateaux des n° 8901 à 8905 et des bateaux à dépecer);
8906 90 99;Bateaux, y.c. les bateaux de sauvetage (autres qu'à rames, autres que pour la navigation maritime, autres que navires de guerre et non cités aux positions des n° 8901 à 8905, et autres que bateaux à dépecer), poids unitaire > 100 kg;
8907;Autres engins flottants (radeaux, réservoirs, caissons, coffres d'amarrage, bouées et balises, p.ex.) (non cités aux n° 8901 à 8906 et autres qu'engins flottants à dépecer);
8907 10 00;Radeaux gonflables;
8907 90 00;Engins flottants, p.ex. réservoirs, caissons, coffres d'amarrage, bouées et balises (sauf radeaux gonflables, bateaux des n° 8901 à 8906 et engins flottants à dépecer);
8908 00 00;Bateaux et autres engins flottants à dépecer;
SECTION XVIII;"INSTRUMENTS ET APPAREILS D'OPTIQUE, DE PHOTOGRAPHIE OU DE CINÉMATOGRAPHIE, DE MESURE, DE CONTRÔLE OU DE PRÉCISION; INSTRUMENTS ET APPAREILS MÉDICO-CHIRURGICAUX; HORLOGERIE; INSTRUMENTS DE MUSIQUE; PARTIES ET ACCESSOIRES DE CES INSTRUMENTS OU APPAREILS";
